"x"
"1" "LEADERS	That  SHOULD  be a cause for celebration on both sides of the border"
"425" "BRITAIN	Britain  SHOULD  have learned from it, though"
"426" "BUSINESS	” He  SHOULD  know"
"427" "BUSINESS	Their rivalry  SHOULD  be a real spectacle"
"428" "BUSINESS	France has less to cheer about, but optimists note that the gap between yields on property and those on government securities is the highest in 20 years, which  SHOULD  underpin prices"
"429" "BUSINESS	The implications are that there ought to be generally accepted accounting principles for the environment, and that policymakers  SHOULD  pay more attention to efforts under way to create them"
"430" "BUSINESS	The basic framework would not be hard to set: companies  SHOULD  publish assessments of climate risks and opportunities (Exxon is doing that); disclose their greenhouse-gas emissions; and explain how they are seeking to cut them"
"431" "LEADERS	Mr Gandhi  SHOULD  make a virtue of his diffidence by stepping back from politics and promoting modernisers to the fore"
"432" "LEADERS	If, more probably, victory goes to the BJP, its coalition partners  SHOULD  hold out for a prime minister other than Mr Modi"
"433" "LEADERS	But for now he  SHOULD  be judged on his record—which is that of a man who is still associated with sectarian hatred"
"434" "LEADERS	If Mr Erdogan wants to be mentioned in the same breath, he  SHOULD  try much harder to represent the interests of all Turks, not just those who rallied to him this week"
"435" "LEADERS	In January a deepwater port opened in Mariel on Cuba’s northern coast, a prime spot to handle traffic with the United States  SHOULD  the drawbridge come down"
"436" "LEADERS	Universities  SHOULD  be required to find out how much their graduates earn and, on the basis of that, provide students with a rate of return on their investment"
"437" "LEADERS	Universities  SHOULD  also have more of a stake in their students’ success"
"438" "LEADERS	America  SHOULD  do everything it can to help them get it right"
"439" "LEADERS	Winston Churchill thought Parliament  SHOULD  meet for no more than five months a year"
"440" "LEADERS	Undo something There are plenty of important things that Parliament  SHOULD  be doing"
"441" "LEADERS	Since Britain’s politicians seem incapable of passing any useful new laws, they  SHOULD  occupy themselves in scrapping some useless old ones"
"442" "BRIEFING	In time, they  SHOULD  help to improve the political system"
"443" "AMERICAS	The first was an education reform inspired by the notion that the state  SHOULD  offer free and equal education to all"
"444" "ASIA	It decided that both elections  SHOULD  be held on the same day, though not until 2019"
"445" "ASIA	There have been calls for similar legislation in next-door Kazakhstan, where a deputy from the ruling Nur Otan party said last year that gays  SHOULD  be considered “criminals against humanity”"
"446" "EUROPE	Berliners now use only about 200m cubic metres of water, whereas they  SHOULD  be using at least 300m, says Manfred Schafhauser, a geologist who did a study for the local chamber of commerce"
"447" "BRITAIN	Applicants  SHOULD  send a CV and an article of 600-700 words suitable for publication in the section"
"448" "BRIEFING	The shock of the Crimean annexation  SHOULD  speed up sluggish European decision-making on storage, interconnection, diversification, liberalisation, shale gas and efficiency"
"449" "LEADERS	But Bagehot’s rule had a sting in the tail: the bail-out charges  SHOULD  be punitive"
"450" "LEADERS	That toughness rested on the view that governments  SHOULD  as far as they could treat financiers like any other industry, forcing bankers and investors to take as much of the risk as possible themselves"
"451" "LEADERS	Deposit insurance  SHOULD  be gradually trimmed until it protects no more than a year’s pay, around $50,000 in America"
"452" "LEADERS	Governments  SHOULD  report these liabilities in national accounts, like other subsidies, and exact a proper price for them"
"453" "LEADERS	A bourgeois class of perhaps 300m people has emerged—and they have their own views on the sort of place China  SHOULD  become"
"454" "LEADERS	They  SHOULD  be given full freedom to do so"
"455" "LEADERS	Meanwhile, the party  SHOULD  also make its disbursal of funds to NGOs more transparent"
"456" "LEADERS	Bigotry is abhorrent and laws that entrench it  SHOULD  be condemned"
"457" "LEADERS	Only “economic considerations”  SHOULD  be relevant to lending decisions"
"458" "LEADERS	He  SHOULD  attack corruption: instead, he sacked the central-bank governor who raised the alarm over billions of dollars in oil revenues missing from the state coffers"
"459" "LETTERS	Our constitution  SHOULD  not be subjected to reform by terrorists, such as FARC; this would set a devastating precedent that weakens our legality"
"460" "LETTERS	But it  SHOULD  adhere to rules regarding “exceptional access” that limit the amount of lending it can do, as these rules work to guard against moral hazard"
"461" "LETTERS	There  SHOULD  be only one condition: that for the duration of their march they must all wear green or orange frogman flippers"
"462" "ASIA	A new highway or two  SHOULD  suit them fine"
"463" "ASIA	Next year, without the NATO presence, militants will much more easily melt into Afghanistan  SHOULD  the Pakistani army attack them"
"464" "ASIA	“Nobody  SHOULD  expect special treatment,” says Khawaja Asif, the defence minister, who was locked up during the Musharraf coup"
"465" "ASIA	Some suggest that the Taliban was split over how far it  SHOULD  target voters to undermine the election"
"466" "ASIA	But that  SHOULD  not detract from the achievement of the army and the police"
"467" "CHINA	The Chinese head of an NGO says his friends tell him he  SHOULD  let the whole system “rot until it collapses”"
"468" "EUROPE	5 billion, plus two one-off measures: repayment of the state’s vast debts to private companies (most of which does not count as current spending but  SHOULD  generate higher VAT revenues) and a windfall for Italian financial institutions from revaluing the stakes that they hold in the Bank of Italy (which the government wants to tax at 26%)"
"469" "EUROPE	Rafael Doménech of BBVA, a bank, says Spain  SHOULD  aspire to more than being the best of the worst and, instead, measure itself against Europe’s most successful economies"
"470" "EUROPE	Ideally, the euro zone  SHOULD  first fix the banks"
"471" "BRITAIN	Forcing lenders to hold buffers large enough to withstand such a shock  SHOULD  deter them from offering the riskiest kinds of mortgage"
"472" "BRITAIN	It  SHOULD  not fear to act"
"473" "BRITAIN	Nor, as Tory MPs want,  SHOULD  he ramp up the emotional case for the union—for that is ground on which Alex Salmond, the nationalists’ charismatic leader, cannot lose"
"474" "BRITAIN	At the least, Better Together’s members  SHOULD  agree the broad outlines of the future devolution that most Scots want"
"475" "BRITAIN	It  SHOULD  not be too difficult"
"476" "INTERNATIONAL	Those who run and profit from rugby, and other sports that see hefty men’s heads shaken by collision or contact with fast-moving balls,  SHOULD  be worried, too"
"477" "INTERNATIONAL	Perhaps this  SHOULD  have come as less of a shock"
"478" "BUSINESS	“It  SHOULD  fall away as conditions improve; we want to compete on equal terms,” he says"
"479" "BUSINESS	If GDP in Africa continues to grow at the 5% annual rate it has managed in the past decade, demand for cement  SHOULD  grow at 7-10%, reckons Andy Gboka of Exotix, an investment bank that specialises in frontier markets"
"480" "BUSINESS	One risk is of idle plants  SHOULD  sales not match expectations"
"481" "BUSINESS	Dangote’s low debt and the sacks of cash made by the cement business  SHOULD  allow the bankers to sleep soundly"
"482" "BUSINESS	The local securities regulator demands that 25% of the business  SHOULD  be freely traded"
"483" "BUSINESS	The discipline of external investors  SHOULD  help Dangote become a firm that can compete outside its home market"
"484" "BUSINESS	Adding Holcim’s marketing nous to Lafarge’s technological know-how  SHOULD  give them an edge when it comes to developing high-margin products such as cements that dry quicker or set underwater, or even fancy decorative ones that provide a ready-made finish for architects"
"485" "OBITUARY	Such was his local influence that when the Supreme Court ruled that obscenity  SHOULD  be judged by “community standards”, every adult theatre in Cincinnati closed down"
"486" "LEADERS	Then he gobbled up Crimea, but the world accepted it—because Crimea  SHOULD  have been Russian all along"
"487" "LEADERS	Yet, after the destabilisation of eastern Ukraine, even doves  SHOULD  grasp that the best chance of stability lies in standing up to Mr Putin, because firmness today is the way to avoid confrontation later"
"488" "LEADERS	NATO  SHOULD  announce that it will hold exercises in central and eastern Europe, strengthen air and cyber defences there and immediately send some troops, missiles and aircraft to the Baltics and Poland"
"489" "LEADERS	NATO members  SHOULD  pledge to increase military spending"
"490" "LEADERS	France  SHOULD  cancel the sale of warships to Russia"
"491" "LEADERS	But that will still leave 200m unregistered, and the issue of who  SHOULD  pay the bill unresolved"
"492" "LEADERS	Oozing with gas, Algeria  SHOULD  be rich, but its economy is as moribund as its politics and rife with corruption"
"493" "LEADERS	It is tempting to say that this is proof that the euro crisis is over: that years of tough reform are paying off, and that lower bond yields  SHOULD  soon lead to greater investment and faster growth"
"494" "LEADERS	Until that changes, investors in Europe’s periphery  SHOULD  expect more deflation and rising debt"
"495" "LETTERS	BUDDHA BASNYATKathmandu, Nepal   Offshore finance and the BVIs SIR – The governor of the British Virgin Islands  SHOULD  veto a piece of legislation on cybercrimes recently approved by the assembly (“Going overboard”, March 29th)"
"496" "LETTERS	Although the rights of individuals to financial privacy  SHOULD  be respected, it is also necessary to safeguard the rights of those damaged by the criminal activities that such privacy can invite"
"497" "LETTERS	Journalists and whistle-blowers  SHOULD  not be penalised for bringing such crimes and injustices to light"
"498" "LETTERS	MICHAEL ELLIOTTChief executiveThe ONE Campaign Washington, DC SIR - For a newspaper that extols the virtues of the democratic process, your suggestion that the British-appointed governor  SHOULD  veto a bill that is still only one-third of the way through the parliamentary process betrays a troubling lack of confidence in post-colonial legislatures"
"499" "LETTERS	Food systems  SHOULD  be improved as a whole and waste reduced"
"500" "AMERICAS	When on April 12th the boss of the state-owned operator suggested that large chunks of the airport in Belo Horizonte that will not be refurbished in time for the football World Cup in June  SHOULD  simply be “veiled”, his remark elicited no more than a shrug of resignation"
"501" "ASIA	Although he soon dropped out of the process, the question of how much the country  SHOULD  adjust its constitution to suit its militant tormentors became a routine topic on talk shows"
"502" "ASIA	In theory, circumstances are so different that America’s Asian allies  SHOULD  have no cause for concern"
"503" "EUROPE	But  SHOULD  Mr Erdogan’s dictatorial outbursts persist, he might just have second thoughts"
"504" "EUROPE	On April 15th a Milan court ruled that Silvio Berlusconi  SHOULD  serve his sentence for tax fraud by helping in an old people’s home in Milan"
"505" "EUROPE	The question as to which country these (and other objects from Crimean museums)  SHOULD  return is creating a diplomatic conundrum"
"506" "INTERNATIONAL	The world  SHOULD  brace itself, says Wolfgang Arlt of the China Outbound Tourism Research Institute, to receive 100m aspiring Chinese keen for “their turn to see the Mona Lisa” and shop in big-brand stores, and 50m more experienced travellers keen to move beyond the tick-box attractions"
"507" "INTERNATIONAL	If the Nepalese government were to insist that rules protecting migrant workers in Qatar  SHOULD  be enforced, Qatari employers might look for workers elsewhere"
"508" "BUSINESS	On its face, a cheaper currency  SHOULD  be a boon to domestic producers"
"509" "BUSINESS	This  SHOULD  encourage more family-owned firms, hitherto worried about losing control, to raise capital to expand"
"510" "BUSINESS	He may have been willing to overrule old hands when it came to whether mining  SHOULD  be run by managers or miners—and do it with absolute self-confidence that brooked no question"
"511" "LEADERS	But governments  SHOULD  focus not on redistributing income but on generating more of it by reforming retirement and education"
"512" "LEADERS	Age  SHOULD  no longer determine the appropriate end of a working life"
"513" "LEADERS	Mandatory retirement ages and pension rules that discourage people from working longer  SHOULD  go"
"514" "LEADERS	Welfare  SHOULD  reflect the greater opportunities open to the higher-skilled"
"515" "LEADERS	Pensions  SHOULD  become more progressive (ie, less generous to the rich)"
"516" "LEADERS	So, given his irreplaceability and the unrepeatability of his past dealmaking success, Mr Buffett  SHOULD  remind shareholders at the annual meeting of the examples of James Hanson of Hanson Trust and Henry Singleton of Teledyne"
"517" "LEADERS	But he  SHOULD  tell shareholders that a gradual break-up will be his main recommendation to his successor"
"518" "LEADERS	ANGELA MERKEL has a favourite mantra to offer troubled euro-zone countries: they  SHOULD  copy Germany"
"519" "LEADERS	The credit for Germany’s rebound  SHOULD  really go to the “Agenda 2010” reforms started by her predecessor, Gerhard Schröder, in 2003"
"520" "LEADERS	Now that Mrs Merkel is doing the same, why  SHOULD  Mr Hollande pay any attention"
"521" "LEADERS	A more democratic approach would be to persuade voters that capital punishment is not just barbaric but also costly, ineffective and prey to human error, and that they  SHOULD  therefore back politicians who oppose it"
"522" "LEADERS	America is a nation founded on the principle that governments  SHOULD  not be trusted with too much power; that "
"523" "LEADERS	Taxes must be paid: a property-owner who rents a room  SHOULD  declare the income, just as a hotel "
"524" "LEADERS	But if consumers want to go for the cheaper, less-regulated service, they  SHOULD  be allowed to do so"
"525" "LEADERS	Cities  SHOULD  not ban it but welcome it"
"526" "LETTERS	Governance  SHOULD  be delegated to a non-resident board of senior officials that could meet, say, every quarter to approve policies and set objectives for the president, who would be accountable to them"
"527" "LETTERS	Carl Magnus MagnussonStockholm SIR – The notion that American and European values  SHOULD  hold no sway in how the World Bank directs its spending, when most of the money it distributes comes from American and European taxpayers, is absurd"
"528" "LETTERS	You think it  SHOULD  stick to technocratic matters, but for decades it has addressed social exclusion, such as the rights of the Roma in Europe"
"529" "LETTERS	The bank  SHOULD  impose a little more “Western values”—which are really universal rights—when dealing with Uganda, Zimbabwe, Sudan, Nigeria…(I could go on but the list is depressingly long)"
"530" "LETTERS	Jonathan DarrowResearch fellowHarvard Medical School Cambridge, Massachusetts * SIR – The economic value-added of an education at a school like Harvard or Yale  SHOULD  be measured by comparing the earnings of its graduates with those who were admitted to Harvard or Yale, but attendeda less-exclusive and lower-priced state university"
"531" "LETTERS	The non-economic value of most college degrees  SHOULD  also be taken into account: a love of knowledge, a deeper understanding of the world around us, or in other cases, four to six years of alcohol-fuelled party time with your peers, completely insulated from parental oversight and only occasionally interrupted by classes"
"532" "BRIEFING	The unexpected baby boom of 1946-64 messed up Hansen’s predictions, and unforeseen events could undermine today’s demographic projections, too—though bearing in mind that the baby boom required a world war to set the stage, that  SHOULD  not be seen as a source of hope"
"533" "AMERICAS	In January he published an opinion article by Carlos Genatios, once Chávez’s science minister, which criticised Venezuela’s astronomical murder rate and quoted Mr Cabello as saying: “Those who dislike the insecurity  SHOULD  leave the country"
"534" "AMERICAS	If Mr Cabello is in the right, he  SHOULD  be suing state TV; in any event, an apology and retraction would suffice"
"535" "AMERICAS	And it shows why those on the left around the world who still defend Venezuela’s government  SHOULD  hang their heads in shame"
"536" "AMERICAS	Short-term measures  SHOULD  keep the water trickling for now"
"537" "ASIA	Thousands have joined militias, training in martial arts to protect the government from the PDRC mobs or the courts,  SHOULD  they try to bring it down"
"538" "ASIA	Prasert Patanaponpaiboon of Pheu Thai says many in the party think she  SHOULD  step down temporarily in favour of a leader less close to Mr Thaksin"
"539" "ASIA	Most recently, he insisted that Pervez Musharraf, a former military dictator,  SHOULD  not be allowed to dodge his trial for high treason"
"540" "CHINA	Some want an emergency-exit hatch  SHOULD  the Chinese economy get into trouble or the police come knocking"
"541" "EUROPE	Eugene Carpov, Moldova’s deputy prime minister in charge of negotiations over Transdniestria, says that Russia is “trying to determine the path by which Moldova’s government  SHOULD  develop”"
"542" "EUROPE	Yet advocacy  SHOULD  take place openly, not in the dark"
"543" "EUROPE	Precisely because the EU is more remote than national politics, it  SHOULD  hold itself to the highest standards"
"544" "INTERNATIONAL	) Which programming language  SHOULD  come first"
"545" "INTERNATIONAL	But  SHOULD  pupils start with programming and leave principles till later, or the other way round"
"546" "BUSINESS	Last month Seattle’s council declared that Lyft, SideCar and UberX  SHOULD  be limited to 150 drivers each at a time—though a petition has gained enough signatures to put this requirement on hold"
"547" "BUSINESS	Asked on his deathbed who  SHOULD  rule in his wake, he supposedly answered, “the strongest”"
"548" "BUSINESS	“The day you are appointed as a new CEO you  SHOULD  start work on who will replace you,” says Michael Useem of Wharton business school"
"549" "BUSINESS	It did so on the grounds that the economic boost from introducing 3G  SHOULD  be bigger than the one-off windfall from an auction that might have got mired in corruption allegations"
"550" "BUSINESS	With a crippling energy crisis that leaves its cities powerless for up to 12 hours a day and the villages for longer, and an Islamist insurgency that has paralysed businesses and deterred all but the bravest foreign investors, the country of nearly 200m people sorely needs the boost that high-speed mobile-internet access  SHOULD  bring"
"551" "BRIEFING	5 billion in 2013, and a share price that touched a new all-time high on April 23rd,  SHOULD  ensure the usual high spirits at the annual Berkshire Hathaway shareholder meeting, held over the first weekend of May in Omaha, Nebraska"
"552" "BRIEFING	How much, for example,  SHOULD  Burlington Northern Santa Fe invest in upgrading its track and rolling stock to get natural gas out of North Dakota while keeping its traditional customers happy (something it is not currently doing well)"
"553" "BRIEFING	It  SHOULD  be a good read"
"554" "LEADERS	And the president has often made the right call: nobody thinks he  SHOULD  have sent troops to Crimea, despite the breaking of the 1994 agreement"
"555" "LEADERS	Mr Xi  SHOULD  help, by publicly applauding Mr Ma and by making all donations tax-deductible"
"556" "LEADERS	So the rise of index funds is one financial fashion that  SHOULD  be welcomed"
"557" "LEADERS	Sins of commission Indeed, it  SHOULD  be encouraged by governments that would like citizens to save enough to give themselves a comfortable old age, rather than depending on the state"
"558" "LEADERS	Governments  SHOULD  ensure that financial advisers are paid, not by product providers, but by clients (much as you would not want doctors to be paid by the drug companies)"
"559" "LEADERS	More countries  SHOULD  follow Britain’s example and stop the use of commissions"
"560" "LEADERS	And the European Union  SHOULD  make more effort to ensure that funds are bought across national boundaries, rather than leaving people in the clutches of banks at home"
"561" "LEADERS	But without such countervailing factors, Mr Piketty argues, higher returns on capital will concentrate wealth—especially when, as now, an ageing population means that growth  SHOULD  slow"
"562" "LEADERS	Mr Piketty asserts rather than explains why tempering wealth concentration  SHOULD  be the priority (as opposed to, say, boosting growth)"
"563" "LEADERS	The ANC gives the impression that South Africa is a de facto one-party state where only its friends  SHOULD  get the plum jobs and contracts"
"564" "LETTERS	This  SHOULD  not be compared with absolute reductions in economic output or consumption in a particular year"
"565" "LETTERS	That is the reason why these models  SHOULD  not be used as prediction machines, but as “living maps”, drawn up by scientists with the most recent evidence available to help policymakers navigate safely through a widely unknown landscape"
"566" "LETTERS	Now that the results of many of the coalition government’s reforms are becoming clear,  SHOULD  not Parliament be assessing them and reporting to the public"
"567" "LETTERS	The Economist  SHOULD  encourage others to follow their example"
"568" "LETTERS	You  SHOULD  eat more Swiss cheese"
"569" "BRIEFING	In his latest letter to Berkshire Hathaway shareholders, Warren Buffett describes what  SHOULD  happen to his personal portfolio after his death"
"570" "BRIEFING	But an investor  SHOULD  not pay 1% to 1"
"571" "AMERICAS	Relations with Chile, a potential market, are frozen by Mr Morales’s quixotic demand that the International Court of Justice  SHOULD  order talks over Bolivia’s access to the sea, lost in a 19th-century war"
"572" "ASIA	It seems almost cruel that India’s mild leader, an economist by training,  SHOULD  attract so much personal venom"
"573" "CHINA	It said the consolidation of household plots into family farms  SHOULD  be given “encouragement and support”"
"574" "EUROPE	A more immediate idea is that Mr Mas and Mr Rajoy  SHOULD  talk"
"575" "EUROPE	General Riho Terras, the Estonian defence chief, said Europeans  SHOULD  send ground forces to the Baltic: “We need to see the German flag here"
"576" "EUROPE	It does not help that the Baltics have bickered endlessly over projects that  SHOULD  help them stand up to Russia, whether it be the location of NATO forces, developing alternatives to Russian gas, building a joint nuclear-power station or laying an EU-financed railway to link them to the rest of Europe"
"577" "BRITAIN	It  SHOULD  do well; opinion polls in the republic, where Mr Adams sits in Parliament, suggest it is on course to win three out of eleven seats in the European Parliament"
"578" "BRITAIN	Yet the erosion of Britain’s dominant sporting culture, which it is contributing to, if not causing,  SHOULD  not be disregarded"
"579" "INTERNATIONAL	A recent move to cut farmers’ use of antibiotics in America, where as much as four-fifths of all antibiotics (by weight) are fed to animals,  SHOULD  help—though exempting use for veterinary purposes leaves a loophole"
"580" "BUSINESS	” Steve Immelt, the incoming boss at Hogan Lovells, a “giant alternative” firm formed in 2010, says that “Some [vereins] were not as profitable to begin with, and it  SHOULD  not be a surprise that when you put them together, you don’t have alchemy happen"
"581" "BUSINESS	Toshiba, a conglomerate, has four outside directors, which  SHOULD  make the firm exemplary"
"582" "BUSINESS	This points to an obvious solution: companies  SHOULD  work harder on creating a pipeline of female future CEOs"
"583" "BUSINESS	There is talk of a fur bubble (or  SHOULD  that be a fur ball"
"584" "OBITUARY	What else  SHOULD  a journalist do"
"585" "OBITUARY	In 2010 the NLD boycotted the elections; Win Tin thought it  SHOULD  do the same in the by-elections of 2012, even though it won nearly all the seats it contested"
"586" "LEADERS	So if some lending is moving from banks to less dangerous entities, the financial system  SHOULD  be safer"
"587" "LEADERS	For these reasons, Mr Carney  SHOULD  be happier if, say, a British brewer takes a long-term loan from a pension fund or a life insurer with long-term liabilities instead of from a bank"
"588" "LEADERS	They  SHOULD  be forced to be more honest"
"589" "LEADERS	The world  SHOULD  not oblige"
"590" "LEADERS	Therefore, the West  SHOULD  maintain today’s sanctions—and the threat of more"
"591" "LEADERS	It  SHOULD  strive to lessen its dependence on Russian energy and face up to the fact that, while Mr Putin is in power, doing business with Russia will be perilous"
"592" "LEADERS	Ms Yingluck  SHOULD  have had the right to confront her undemocratic royalist foes at the ballot box"
"593" "LEADERS	At the moment only the capital has a democratically elected governor, yet all 76 provinces  SHOULD  also have one—this would not only help a rumbling Muslim insurgency in the south, it would also offer a prize to Mr Suthep, because the winner of the national election would no longer win all the power"
"594" "LEADERS	In return for this reform, the Democrat Party must pledge to accept election results; and in return for that, the Pheu Thai  SHOULD  run without a Shinawatra at the helm"
"595" "LEADERS	Not all takeovers are successful—and Pfizer may mess this one up; but the bar for a government stopping shareholders deciding what to do with their company  SHOULD  be a high one"
"596" "LEADERS	But the AstraZeneca row  SHOULD  also spur change in Pfizer’s home country"
"597" "LEADERS	They  SHOULD  think again"
"598" "LETTERS	The former  SHOULD  return to taxing current house values"
"599" "LETTERS	The latter  SHOULD  be scaled back somewhat to provide more cushion"
"600" "LETTERS	SIR – “Doing God” (April 26th) reckoned that David Cameron’s comment that Britain  SHOULD  be “proud” to be a Christian country was “more astute than the reaction to it suggests”"
"601" "LETTERS	Why  SHOULD  we worry"
"602" "BRIEFING	But it  SHOULD  complete the first one, mainly by bringing benefits to the poorest, who missed out first time round"
"603" "BRIEFING	And it  SHOULD  prevent Asia slipping back under the shadow of hunger and all the political and social disruptions that such misery causes"
"604" "BRIEFING	It would be more accurate to say that mechanisation enables families to keep their plots, hold urban jobs and  SHOULD  enable them to take some advantage of the second green revolution"
"605" "AMERICAS	Yet that is what happened in March when the OAS agreed that its debate about repression in Venezuela  SHOULD  be held in camera"
"606" "AMERICAS	What  SHOULD  Washington do about all this"
"607" "AMERICAS	Others would say that the last thing the United States  SHOULD  do if it wants to recover influence in the region is to replicate the sanctions that for 54 years have failed to topple the Castros in Cuba"
"608" "ASIA	Mr Suthep has always demanded that Ms Yingluck  SHOULD  resign"
"609" "ASIA	The chief minister of the last of these, Mamata Banerjee, sounds most spooked, saying this week Mr Modi  SHOULD  be “dragged by ropes” to jail"
"610" "CHINA	State media say that in theory no official below the rank of minister  SHOULD  be allowed to have a dedicated mishu"
"611" "EUROPE	Asked if some are preparing for partisan warfare  SHOULD  there be a full-scale Russian invasion, one says they are not thinking about it because “we have been doing it for a month already"
"612" "EUROPE	And in his will Mehmed II decreed that it  SHOULD  remain a mosque “until Judgment Day"
"613" "INTERNATIONAL	Parties to a cross-border deal must decide not only which country’s law governs it but how disputes  SHOULD  be resolved"
"614" "INTERNATIONAL	Since we pride ourselves on pushing the boundaries in search of a way to clamber out of the box and reach the summit of blue-sky thinking, we reckoned we  SHOULD  grasp the nettle of radical Putinism and run with it"
"615" "INTERNATIONAL	Perhaps, on second thoughts, Mr Putin  SHOULD  quit while he is ahead"
"616" "BUSINESS	Since Alibaba reaches into every corner of the country, it  SHOULD  profit from that growth"
"617" "BUSINESS	Second, the ongoing shift from investment- to consumption-led growth means that firms that make it easy to sell directly to consumers  SHOULD  benefit disproportionately"
"618" "BUSINESS	The path ahead for Alibaba will not be as easy as the road that brought it to the world’s attention this week, but the competition to come  SHOULD  make the firm fitter"
"619" "BUSINESS	“But now we don’t know what this mechanism  SHOULD  look like"
"620" "BUSINESS	America’s lawyers are licensed by its states, which allow confidentiality to be breached in only a few narrow cases, such as client perjury, or to prevent a serious crime being committed—and even then disclosure  SHOULD  be the bare minimum “necessary”"
"621" "BUSINESS	In an ethics opinion issued last year, a New York lawyers’ association concluded that even in the rare cases where state law allows disclosure, lawyers  SHOULD  be prevented from claiming a bounty because the prospect of financial gain would cloud their professional judgment"
"622" "BUSINESS	Eurotunnel is cutting its freight charges from June after the commission threatened to go to court, so volumes  SHOULD  increase"
"623" "BUSINESS	Today they have to compete with fast-growing local companies and constantly confront the question, “Why  SHOULD  I work for a company that is run by people who look like you when I could work for one which is run by people who look like me"
"624" "LEADERS	Europe’s heads of government  SHOULD  stand against its latest power grab, which is to arrogate to itself the right to choose the next European Commission president by getting the main political groups to nominate candidates and refusing to accept any alternative"
"625" "LEADERS	Europe’s broad strategic direction  SHOULD  be set by heads of government, not by the European Commission, even though that body proposes the detailed laws"
"626" "LEADERS	The European Parliament  SHOULD  be downgraded, with more democratic control given to national parliaments"
"627" "LEADERS	So long as they are accompanied by energetic diplomacy, they  SHOULD  make the region more, not less, secure"
"628" "LEADERS	In a country that  SHOULD  be industrialising, the contribution to GDP from industry has been declining while manufacturing jobs have stagnated"
"629" "LEADERS	The government  SHOULD  back him and try to persuade him to stay in the job"
"630" "LEADERS	To cut high food prices, it  SHOULD  abolish the state-run agricultural markets that are often in the hands of powerful locals who hoard farmers’ produce"
"631" "LEADERS	India  SHOULD  be doing that right now"
"632" "LEADERS	In some areas less government is needed: archaic labour laws  SHOULD  be abolished"
"633" "LEADERS	State cash  SHOULD  go to where the problems are"
"634" "LEADERS	Pay  SHOULD  be made more responsive to shortages in talent, whether among teachers or social workers"
"635" "LEADERS	In future their benefits  SHOULD  be more evenly spread"
"636" "LEADERS	Search engines  SHOULD  be like library catalogues—comprehensive and neutral, and without fear or favour of what the contents may reveal, or how they may be used"
"637" "LEADERS	It  SHOULD  be up to individuals, not governments, to distinguish what is right or wrong, useful or immaterial"
"638" "LEADERS	People  SHOULD  be wary of ceding the power to make that judgment, even to a court that thinks hard about it and backs the underdog"
"639" "LEADERS	”   *This leader has been amended to note, as we  SHOULD  have made clear in the print edition, that Google’s executive chairman Eric Schmidt is also a non-executive director of this newspaper"
"640" "LETTERS	Yes, owners  SHOULD  be more enlightened about the price of tickets in light of the huge revenues they now receive from television"
"641" "LETTERS	The quality of health care and services, including contraception, for young people  SHOULD  be addressed"
"642" "LETTERS	Dr Babatunde OsotimehinUN Under-Secretary-General and Executive DirectorUnited Nations Population FundNew York For a few dollars SIR – After describing a beef between a disgruntled rancher and a federal agency, your article (“Cowboys v Feds”, April 26th) concluded that the government  SHOULD  divest itself of the public lands it manages"
"643" "LETTERS	But the term “racist” in South Africa has a certain power, and  SHOULD  not be used loosely"
"644" "BRIEFING	It  SHOULD  stand midway between the parliament and national governments"
"645" "BRIEFING	At the extremes Given that populists and extremists are part of national politics, it is only natural that they  SHOULD  be represented in Strasbourg"
"646" "BRIEFING	The treaty also introduced a system of yellow and orange cards, under which national parliaments can object to EU legislative proposals on the ground that they infringe the principle of “subsidiarity”, which holds that action  SHOULD  be taken at European level only if it cannot be better done at national level"
"647" "AMERICAS	But they  SHOULD  be a complement to, not a substitute for, public investment in roads, railways and metros"
"648" "ASIA	So Mr Abe, backed by the panel, has a narrower goal: reinterpreting the constitution in ways that, for the first time, allow for “collective self-defence”—that is, would let Japan aid its allies, notably America,  SHOULD  they come under attack"
"649" "ASIA	The panel’s recommendations ought to help Japan act as a more effective partner  SHOULD  the United States find itself, for instance, in combat with North Korea or defending Taiwan"
"650" "ASIA	In this sectionCloser allies Hot oil on troubled waters Men in shorts Silent campaigns Face-off Joining forces Runners and riders Getting in the way Reprints     Now debate will focus on whether a run-off  SHOULD  take place at all"
"651" "ASIA	Mindful of the security risks and the costs of a run-off, and of the double-digit gap between them, some suggest Mr Ghani  SHOULD  do the same, but he has pledged to fight on"
"652" "ASIA	So 2015  SHOULD  be seen not as a deadline, but a milestone—as always in ASEAN, as part of a process, not a finishing line"
"653" "EUROPE	Vladimir Groisman, a young deputy prime minister, says this implies that the country  SHOULD  be dismembered into units which then form a kind of a federation"
"654" "EUROPE	But if the countries closest to Russia, with direct experience of Soviet occupation, cannot agree on sanctions, why  SHOULD  others endanger their still-fragile economies"
"655" "EUROPE	It added that the region  SHOULD  now speak more assertively across the full range of European issues"
"656" "BRITAIN	Mr Cameron  SHOULD  be emboldened by that, because he faces a substantial task"
"657" "BRITAIN	The prime minister’s aim  SHOULD  be to cut that vote-share in half"
"658" "BRITAIN	There are good reasons why Britain needs more, not fewer, immigrants: Mr Cameron  SHOULD  present them"
"659" "BRITAIN	But they will not do so without winning difficult arguments; and that, as Mr Cameron seems sometimes to forget, is politics as it  SHOULD  be"
